,Sentences,Date_1,Words,Date_2,Numbers,Date_3
2442,"When Stubb had departed , Ahab stood for a while leaning over the bulwarks ; and then , as had been usual with him of late , calling a sailor of the watch , he sent him below for his ivory stool , and also his pipe .",wednesday october 11 2000,meditated,monday december 16 2013,2056,thursday december 16 1993
2443,"Lighting the pipe at the binnacle lamp and planting the stool on the weather side of the deck , he sat and smoked .",09.08.07,inattention,wednesday may 3 1989,-5366,october 3 1981
2444,"In old Norse times , the thrones of the sea - loving Danish kings were fabricated , saith tradition , of the tusks of the narwhale .",29.05.03,belonged,march 11 1975,5803,december 8 1971
2445,"How could one look at Ahab then , seated on that tripod of bones , without bethinking him of the royalty it symbolized ?",8 may 1999,melancholy,saturday july 11 2015,1204,1 dec 2019
2446,"For a Khan of the plank , and a king of the sea , and a great lord of Leviathans was Ahab .",13 jul 2011,obviating,monday march 4 1985,-2293,tuesday november 20 2018
2447,"Some moments passed , during which the thick vapour came from his mouth in quick and constant puffs , which blew back again into his face .",wednesday august 19 2020,print,monday december 23 1974,-4623,28 aug 2002
2448,""" How now ,"" he soliloquized at last , withdrawing the tube , "" this smoking no longer soothes .",friday november 10 2006,lecture,wednesday april 4 2007,7759,january 8 2001
2449,"Oh , my pipe !",16 may 1996,laugh,march 22 2020,-6095,december 30 2013
2450,hard must it go with me if thy charm be gone !,tuesday january 28 1997,nice,saturday march 25 2017,9831,saturday august 10 1985
2451,"Here have I been unconsciously toiling , not pleasuring -- aye , and ignorantly smoking to windward all the while ; to windward , and with such nervous whiffs , as if , like the dying whale , my final jets were the strongest and fullest of trouble .",oct 25 2005,sacred,12.11.87,5604,wednesday october 27 1982
2452,What business have I with this pipe ?,monday march 15 1971,submitted,dec 4 2019,-2963,monday august 9 1993
2453,"This thing that is meant for sereneness , to send up mild white vapours among mild white hairs , not among torn iron - grey locks like mine .",20 may 2011,attributed,3 07 15,-5669,thursday november 25 1993
2454,"I ' ll smoke no more --""",16 may 1988,certainly,5 january 1993,1601,thursday april 16 2015
2455,He tossed the still lighted pipe into the sea .,tuesday may 3 2005,daggers,wednesday june 28 1989,-540,24 apr 2006
2456,The fire hissed in the waves ; the same instant the ship shot by the bubble the sinking pipe made .,2 feb 2001,keys,march 23 2005,-7666,friday may 10 1985
2457,"With slouched hat , Ahab lurchingly paced the planks .",june 24 1997,yet,5/26/90,750,june 8 1997
2458,CHAPTER 31,thursday october 13 2011,worst,thursday march 7 2013,-1849,16 july 1982
2459,Queen Mab .,15 oct 1974,guardian,tuesday january 6 1976,5673,monday december 2 2019
2460,Next morning Stubb accosted Flask .,sunday july 31 1983,washing,4 mar 2008,-8037,tuesday july 21 2015
2461,""" Such a queer dream , King - Post , I never had .",apr 28 1985,enough,february 7 1978,8508,20 feb 2006
2462,"You know the old man ' s ivory leg , well I dreamed he kicked me with it ; and when I tried to kick back , upon my soul , my little man , I kicked my leg right off !",dec 17 1982,similar,thursday september 15 1994,-3847,july 9 1990
2463,"And then , presto !",friday december 28 2018,black,08 may 2018,-3107,august 7 2003
2464,"Ahab seemed a pyramid , and I , like a blazing fool , kept kicking at it .",9 september 1982,rises,thursday november 2 2017,3435,sunday july 14 2013
2465,"But what was still more curious , Flask -- you know how curious all dreams are -- through all this rage that I was in , I somehow seemed to be thinking to myself , that after all , it was not much of an insult , that kick from Ahab .",july 25 1981,inclination,thursday april 5 2012,-8745,tuesday june 18 1985
2466,"' Why ,' thinks I , ' what ' s the row ?",1 july 1974,accusation,friday december 26 1986,-2778,15 oct 2014
2467,"It ' s not a real leg , only a false leg .'",27 april 2008,agitate,27 jun 1982,8206,sunday june 8 1980
2468,And there ' s a mighty difference between a living thump and a dead thump .,monday december 1 1986,air,13 march 2013,-6947,11 january 2008
2469,"That ' s what makes a blow from the hand , Flask , fifty times more savage to bear than a blow from a cane .",18 oct 1983,performing,12.10.12,-3328,thursday june 2 2016
2470,"The living member -- that makes the living insult , my little man .",9 feb 1981,Mine,saturday march 7 1981,-1925,saturday april 17 1993
2471,"And thinks I to myself all the while , mind , while I was stubbing my silly toes against that cursed pyramid -- so confoundedly contradictory was it all , all the while , I say , I was thinking to myself , ' what ' s his leg now , but a cane -- a whalebone cane .",thursday january 28 2010,reports,monday may 26 1975,2754,saturday april 27 2013
2472,"Yes ,' thinks I , ' it was only a playful cudgelling -- in fact , only a whaleboning that he gave me -- not a base kick .",monday may 2 1988,conscientious,wednesday march 28 2001,-8819,2/23/02
2473,"Besides ,' thinks I , ' look at it once ; why , the end of it -- the foot part -- what a small sort of end it is ; whereas , if a broad footed farmer kicked me , THERE ' S a devilish broad insult .",tuesday july 21 1987,resist,wednesday october 6 1999,5097,january 13 1992
2474,But this insult is whittled down to a point only .',saturday september 12 2009,Vanity,wednesday june 27 1973,4156,02 nov 2018
2475,"But now comes the greatest joke of the dream , Flask .",august 26 1998,got,november 23 2017,-4409,november 19 1984
2476,"While I was battering away at the pyramid , a sort of badger - haired old merman , with a hump on his back , takes me by the shoulders , and slews me round .",january 18 2000,piano,monday october 16 1995,7314,friday march 27 2020
2477,' What are you ' bout ?',thursday march 30 1995,Bad,1 april 2013,-5670,thursday may 21 2020
2478,says he .,saturday may 15 2010,watching,15 feb 1995,-7419,tuesday may 24 2005
2479,Slid !,october 27 1974,owned,may 9 2000,-9140,14 feb 1984
2480,"man , but I was frightened .",friday december 12 2014,sore,september 25 1988,6597,monday july 19 2010
2481,Such a phiz !,friday september 2 1988,mindful,1 jun 2013,-8300,thursday may 26 2016
2482,"But , somehow , next moment I was over the fright .",11 july 1979,modern,monday july 8 1985,2448,wednesday january 14 1970
2483,' What am I about ?',sunday november 29 2009,loving,january 1 1996,-8689,28 july 2003
2484,says I at last .,9 october 2010,"',",monday march 27 2006,1922,19 apr 2014
2485,"' And what business is that of yours , I should like to know , Mr . Humpback ?",thursday october 7 2010,particularity,10/27/84,-4355,wednesday october 29 1975
2486,Do YOU want a kick ?',wednesday october 27 2010,deprive,12/19/97,-1547,friday july 1 2011
2487,"By the lord , Flask , I had no sooner said that , than he turned round his stern to me , bent over , and dragging up a lot of seaweed he had for a clout -- what do you think , I saw ?-- why thunder alive , man , his stern was stuck full of marlinspikes , with the points out .",8 january 1979,Sophia,11 may 1989,5859,thursday september 17 1998
2488,"Says I , on second thoughts , ' I guess I won ' t kick you , old fellow .'",4 oct 1985,pursuing,friday may 27 1983,5830,thursday january 13 2000
2489,"' Wise Stubb ,' said he , ' wise Stubb ;' and kept muttering it all the time , a sort of eating of his own gums like a chimney hag .",sunday february 19 1995,concession,12 mar 1992,-3948,29 jul 2003
2490,"Seeing he wasn ' t going to stop saying over his ' wise Stubb , wise Stubb ,' I thought I might as well fall to kicking the pyramid again .",wednesday august 11 1993,W,20 jun 1977,-6353,15 sep 1986
2491,"But I had only just lifted my foot for it , when he roared out , ' Stop that kicking !'",mar 2 1995,scorn,15 apr 1997,-2339,tuesday january 24 1984
2492,"' Halloa ,' says I , ' what ' s the matter now , old fellow ?'",13 nov 2006,change,february 9 2011,8932,saturday april 26 1997
2493,"' Look ye here ,' says he ; ' let ' s argue the insult .",21 january 1991,scattered,saturday august 25 2012,-7561,30 january 2006
2494,"Captain Ahab kicked ye , didn ' t he ?'",thursday january 30 1997,absurdity,saturday july 7 1979,-6599,25 may 2012
2495,"' Yes , he did ,' says I --' right HERE it was .'",30 jan 1986,gain,november 1 1990,-7859,monday january 14 2002
2496,"' Very good ,' says he --' he used his ivory leg , didn ' t he ?'",may 21 1996,hastily,monday december 19 1977,4607,17 jun 1989
2497,"' Yes , he did ,' says I .",24 december 1988,repose,wednesday february 26 2014,5934,may 4 1975
2498,"' Well then ,' says he , ' wise Stubb , what have you to complain of ?",thursday december 2 1976,added,tuesday march 11 2003,3346,22 may 1997
2499,Didn ' t he kick with right good will ?,wednesday may 3 1989,resembled,8/29/98,-2212,nov 24 1984
2500,"it wasn ' t a common pitch pine leg he kicked with , was it ?",saturday december 21 2013,if,18 jul 1999,-3097,10 march 1982
2501,"No , you were kicked by a great man , and with a beautiful ivory leg , Stubb .",5 december 1996,maxims,january 12 1989,-3704,jun 14 1990
2502,It ' s an honour ; I consider it an honour .,tuesday june 26 1973,declaring,26 dec 2008,9368,thursday july 26 2018
2503,"Listen , wise Stubb .",friday september 23 1988,lawn,april 14 1990,3944,feb 6 1981
2504,"In old England the greatest lords think it great glory to be slapped by a queen , and made garter - knights of ; but , be YOUR boast , Stubb , that ye were kicked by old Ahab , and made a wise man of .",02 jun 2009,environs,tuesday june 14 1977,-2077,19 jan 1993
2505,"Remember what I say ; BE kicked by him ; account his kicks honours ; and on no account kick back ; for you can ' t help yourself , wise Stubb .",14 aug 2009,faulty,monday december 27 2004,-2880,8 march 2001
2506,Don ' t you see that pyramid ?',july 11 1998,denoting,aug 9 2009,-8275,16 september 1971
2507,"With that , he all of a sudden seemed somehow , in some queer fashion , to swim off into the air .",sunday may 31 1992,impudently,08.06.14,7799,wednesday september 17 1980
2508,I snored ; rolled over ; and there I was in my hammock !,wednesday july 24 2013,prepare,january 2 1971,-4898,15 february 1993
2509,"Now , what do you think of that dream , Flask ?""",aug 31 2000,evident,6/14/18,-627,april 30 1984
2510,""" I don ' t know ; it seems a sort of foolish to me , tho .'""",july 26 1987,pardonable,august 13 1986,3785,12 july 2013
2511,""" May be ; may be .",monday november 7 2011,sides,oct 7 1983,-7339,26 sep 2018
2512,"But it ' s made a wise man of me , Flask .",tuesday july 10 1990,confidence,16 nov 2017,4842,16 june 1983
2513,"D ' ye see Ahab standing there , sideways looking over the stern ?",friday december 18 1987,resisting,monday june 7 1976,-9789,tuesday march 11 2008
2514,"Well , the best thing you can do , Flask , is to let the old man alone ; never speak to him , whatever he says .",26 august 1973,Without,thursday march 25 1999,-6118,tuesday march 22 1983
2515,Halloa !,5 february 2000,qualification,tuesday january 23 2001,8447,12 may 1988
2516,What ' s that he shouts ?,30 april 1989,linger,8 aug 2016,-3348,wednesday june 3 2015
2517,"Hark !""",2 may 1998,stronger,20 april 2010,-3042,6/16/12
2518,""" Mast - head , there !",25 march 1996,appointment,august 1 2013,-9817,friday december 11 1981
2519,"Look sharp , all of ye !",1 aug 1978,importunate,thursday august 11 1988,7309,saturday february 18 2012
2520,There are whales hereabouts !,saturday january 17 2004,longer,mar 8 1999,-1132,june 12 1980
2521,"If ye see a white one , split your lungs for him !",20 jun 1991,exercise,13 mar 1986,-5742,11 aug 1975
2522,""" What do you think of that now , Flask ?",wednesday november 12 2014,accosted,august 3 2002,-9459,saturday december 22 1990
2523,"ain ' t there a small drop of something queer about that , eh ?",november 26 1983,showers,tuesday november 27 2001,6506,8 dec 2009
2524,"A white whale -- did ye mark that , man ?",thursday october 6 1994,contributing,7/2/85,6990,wednesday october 18 2017
2525,Look ye -- there ' s something special in the wind .,20 january 1994,looks,30 aug 2002,1766,monday december 31 2007
2526,"Stand by for it , Flask .",26 jan 2003,afflictions,30 january 2006,9553,wednesday july 21 1999
2527,Ahab has that that ' s bloody on his mind .,saturday february 16 1980,intent,21 june 1977,9129,wednesday january 11 2012
2528,"But , mum ; he comes this way .""",06.01.94,.],january 22 2012,-4212,22 sep 2011
2529,CHAPTER 32,august 1 1980,irregular,august 4 2002,733,friday may 8 2020
2530,Cetology .,1/18/79,ascended,15 april 1980,-6809,wednesday june 10 2020
2531,"Already we are boldly launched upon the deep ; but soon we shall be lost in its unshored , harbourless immensities .",wednesday july 3 2019,actual,thursday may 1 1986,1457,19 jan 1976
2532,Ere that come to pass ; ere the Pequod ' s weedy hull rolls side by side with the barnacled hulls of the leviathan ; at the outset it is but well to attend to a matter almost indispensable to a thorough appreciative understanding of the more special leviathanic revelations and allusions of all sorts which are to follow .,friday may 29 1998,frivolous,wednesday september 13 2017,7772,sunday may 16 1982
2533,"It is some systematized exhibition of the whale in his broad genera , that I would now fain put before you .",5 april 1970,what,thursday january 7 1999,4010,12.10.72
2534,Yet is it no easy task .,friday september 10 1982,Avignon,sunday january 7 1979,5770,21 june 2003
2535,"The classification of the constituents of a chaos , nothing less is here essayed .",wednesday september 20 1989,US,7 jan 1977,2890,17 february 1989
2536,Listen to what the best and latest authorities have laid down .,19 nov 1976,revived,8 apr 2015,-7853,monday december 14 1992
2537,""" No branch of Zoology is so much involved as that which is entitled Cetology ,"" says Captain Scoresby , A . D . 1820 .",8 jul 2002,captivate,sunday june 5 1977,4752,17 february 1976
2538,""" It is not my intention , were it in my power , to enter into the inquiry as to the true method of dividing the cetacea into groups and families .... Utter confusion exists among the historians of this animal "" ( sperm whale ), says Surgeon Beale , A . D . 1839 .",8/7/11,another,may 20 1979,9219,05.11.94
2539,""" Unfitness to pursue our research in the unfathomable waters .""",jun 14 1983,regretting,monday october 20 1986,5449,tuesday october 28 1980
2540,""" Impenetrable veil covering our knowledge of the cetacea .""",nov 18 1990,"--,",monday february 12 1996,797,26 jul 1972
2541,""" A field strewn with thorns .""",08 dec 1974,refusal,23 07 98,3328,wednesday may 24 2017
2542,""" All these incomplete indications but serve to torture us naturalists .""",25 september 2001,modest,3 11 92,2771,tuesday november 19 2002
2543,"Thus speak of the whale , the great Cuvier , and John Hunter , and Lesson , those lights of zoology and anatomy .",4 august 1978,tidings,tuesday april 8 2003,-182,26 sep 1990
2544,"Nevertheless , though of real knowledge there be little , yet of books there are a plenty ; and so in some small degree , with cetology , or the science of whales .",saturday january 26 2013,Richardson,7 aug 1999,4495,monday july 6 2020
2545,"Many are the men , small and great , old and new , landsmen and seamen , who have at large or in little , written of the whale .",january 16 1984,lodges,16 jan 2018,-5243,13 aug 1980
2546,Run over a few :-- The Authors of the Bible ; Aristotle ; Pliny ; Aldrovandi ; Sir Thomas Browne ; Gesner ; Ray ; Linnaeus ; Rondeletius ; Willoughby ; Green ; Artedi ; Sibbald ; Brisson ; Marten ; Lacepede ; Bonneterre ; Desmarest ; Baron Cuvier ; Frederick Cuvier ; John Hunter ; Owen ; Scoresby ; Beale ; Bennett ; J . Ross Browne ; the Author of Miriam Coffin ; Olmstead ; and the Rev .,may 17 2003,pink,nov 26 1989,1654,5/11/20
2547,T . Cheever .,19 august 1994,disposal,10 august 1971,5835,wednesday december 9 1981
2548,"But to what ultimate generalizing purpose all these have written , the above cited extracts will show .",09 may 1972,indulgent,17 mar 1992,-154,friday june 10 2005
2549,"Of the names in this list of whale authors , only those following Owen ever saw living whales ; and but one of them was a real professional harpooneer and whaleman .",thursday october 13 2011,lower,7 aug 2015,8299,20 nov 2015
2550,I mean Captain Scoresby .,friday april 24 1992,30,11 july 1998,-565,17 april 1990
2551,"On the separate subject of the Greenland or right - whale , he is the best existing authority .",monday january 14 2019,overcome,20 march 2003,-339,nov 20 1991
2552,"But Scoresby knew nothing and says nothing of the great sperm whale , compared with which the Greenland whale is almost unworthy mentioning .",jun 9 1985,dearer,wednesday december 30 1992,-313,february 19 1990
2553,"And here be it said , that the Greenland whale is an usurper upon the throne of the seas .",may 22 1978,unhappy,thursday june 24 2010,3371,january 29 2005
2554,He is not even by any means the largest of the whales .,wednesday april 25 1973,gentleness,june 4 1971,7213,28 october 2009
2555,"Yet , owing to the long priority of his claims , and the profound ignorance which , till some seventy years back , invested the then fabulous or utterly unknown sperm - whale , and which ignorance to this present day still reigns in all but some few scientific retreats and whale - ports ; this usurpation has been every way complete .",21 apr 1973,hand,15 apr 2012,-8525,15.11.75
2556,"Reference to nearly all the leviathanic allusions in the great poets of past days , will satisfy you that the Greenland whale , without one rival , was to them the monarch of the seas .",26 feb 1975,newer,26 jun 1982,8909,thursday october 12 1989
2557,But the time has at last come for a new proclamation .,sunday september 14 2003,wander,tuesday august 28 2001,1602,25 jul 1980
2558,This is Charing Cross ; hear ye !,april 25 2020,city,tuesday september 23 2008,3540,4 oct 1998
2559,"good people all ,-- the Greenland whale is deposed ,-- the great sperm whale now reigneth !",04 jun 1996,bluster,16 nov 1997,-9833,thursday october 27 2005
2560,"There are only two books in being which at all pretend to put the living sperm whale before you , and at the same time , in the remotest degree succeed in the attempt .",october 9 1972,restless,tuesday april 4 2000,-2425,june 25 1972
2561,"Those books are Beale ' s and Bennett ' s ; both in their time surgeons to English South - Sea whale - ships , and both exact and reliable men .",saturday november 7 2015,lighter,tuesday september 12 1972,-6404,wednesday january 2 1980
2562,"The original matter touching the sperm whale to be found in their volumes is necessarily small ; but so far as it goes , it is of excellent quality , though mostly confined to scientific description .",23 april 1977,fatigues,18 may 1978,5559,may 5 2015
2563,"As yet , however , the sperm whale , scientific or poetic , lives not complete in any literature .",saturday june 1 2019,forcing,03 nov 2007,1729,7 jun 1991
2564,"Far above all other hunted whales , his is an unwritten life .",jul 17 1979,Parliament,wednesday september 3 1986,-7795,14 aug 2016
2565,"Now the various species of whales need some sort of popular comprehensive classification , if only an easy outline one for the present , hereafter to be filled in all its departments by subsequent laborers .",9 mar 1992,procure,26 may 1995,-4290,monday july 6 2009
2566,"As no better man advances to take this matter in hand , I hereupon offer my own poor endeavors .",18 may 1975,festival,24 january 2014,2573,12/7/86
2567,"I promise nothing complete ; because any human thing supposed to be complete , must for that very reason infallibly be faulty .",30.01.93,fatigued,saturday january 26 1985,-3642,june 1 2009
2568,"I shall not pretend to a minute anatomical description of the various species , or -- in this place at least -- to much of any description .",january 1 1988,:--,sunday december 20 1987,3328,17 july 1972
2569,My object here is simply to project the draught of a systematization of cetology .,tuesday june 4 2019,became,march 7 1990,5025,friday march 4 2005
2570,"I am the architect , not the builder .",wednesday december 27 2017,treat,3 sep 2016,-8107,29 sep 2007
2571,But it is a ponderous task ; no ordinary letter - sorter in the Post - Office is equal to it .,november 11 1999,resided,19 oct 1999,-8032,april 7 1991
2572,"To grope down into the bottom of the sea after them ; to have one ' s hands among the unspeakable foundations , ribs , and very pelvis of the world ; this is a fearful thing .",monday january 26 1987,unfeigned,tuesday january 8 1974,-8384,7 may 2017
2573,What am I that I should essay to hook the nose of this leviathan !,wednesday july 16 1980,sure,19 apr 2013,3303,friday february 14 1986
2574,The awful tauntings in Job might well appal me .,29 january 2015,banker,sunday july 23 2017,-8953,26 07 70
2575,""" Will he the ( leviathan ) make a covenant with thee ?",saturday november 12 1994,nonsense,30 october 1988,-1104,24 feb 1982
2576,Behold the hope of him is vain !,sunday october 11 2009,purchases,may 27 1979,6955,july 23 1991
2577,But I have swam through libraries and sailed through oceans ; I have had to do with whales with these visible hands ; I am in earnest ; and I will try .,wednesday august 8 2007,convinced,14 apr 1999,2967,thursday december 15 1994
2578,There are some preliminaries to settle .,april 21 1992,herself,jun 18 2001,-4013,5/25/77
2579,"First : The uncertain , unsettled condition of this science of Cetology is in the very vestibule attested by the fact , that in some quarters it still remains a moot point whether a whale be a fish .",8 oct 2010,wives,sunday october 25 2009,6880,thursday october 29 2009
2580,"In his System of Nature , A . D . 1776 , Linnaeus declares , "" I hereby separate the whales from the fish .""",22 march 2004,worry,wednesday april 8 2015,-9318,07.07.92
2581,"But of my own knowledge , I know that down to the year 1850 , sharks and shad , alewives and herring , against Linnaeus ' s express edict , were still found dividing the possession of the same seas with the Leviathan .",march 4 2006,Relate,sunday july 10 2011,241,sep 7 1970
2582,"The grounds upon which Linnaeus would fain have banished the whales from the waters , he states as follows : "" On account of their warm bilocular heart , their lungs , their movable eyelids , their hollow ears , penem intrantem feminam mammis lactantem ,"" and finally , "" ex lege naturae jure meritoque .""",4/26/12,answers,2 07 10,-5727,saturday may 29 1999
2583,"I submitted all this to my friends Simeon Macey and Charley Coffin , of Nantucket , both messmates of mine in a certain voyage , and they united in the opinion that the reasons set forth were altogether insufficient .",saturday november 21 1987,reconciliation,friday april 13 2001,-6183,15.10.06
2584,Charley profanely hinted they were humbug .,feb 28 2017,gaiety,wednesday december 8 1993,-7211,thursday february 14 2019
2585,"Be it known that , waiving all argument , I take the good old fashioned ground that the whale is a fish , and call upon holy Jonah to back me .",5 april 1994,gloves,saturday october 18 2003,-4902,sunday april 10 2011
2586,"This fundamental thing settled , the next point is , in what internal respect does the whale differ from other fish .",saturday september 1 2007,promising,october 27 1994,-829,may 11 2000
2587,"Above , Linnaeus has given you those items .",18 may 1997,quieted,wednesday january 11 2017,4990,14 may 2013
2588,"But in brief , they are these : lungs and warm blood ; whereas , all other fish are lungless and cold blooded .",1 january 2010,neglected,25 jun 2006,3366,2 jun 2013
2589,"Next : how shall we define the whale , by his obvious externals , so as conspicuously to label him for all time to come ?",saturday april 23 2005,building,monday may 11 1970,-3508,22 march 1985
2590,"To be short , then , a whale is A SPOUTING FISH WITH A HORIZONTAL TAIL .",4/12/12,Bartlett,11 mar 1986,-9969,wednesday december 4 1985
2591,There you have him .,monday may 28 1984,pillow,6/22/91,226,27 dec 1993
2592,"However contracted , that definition is the result of expanded meditation .",saturday march 5 1983,sufferings,thursday may 5 2005,4127,tuesday october 20 2009
2593,"A walrus spouts much like a whale , but the walrus is not a fish , because he is amphibious .",monday august 27 2007,constitutional,friday june 14 1991,-4497,thursday october 29 1998
2594,"But the last term of the definition is still more cogent , as coupled with the first .",friday may 27 1994,bear,thursday march 24 2005,-1158,april 19 1980
2595,"Almost any one must have noticed that all the fish familiar to landsmen have not a flat , but a vertical , or up - and - down tail .",january 26 1988,Sunday,11/8/98,-7268,friday september 18 2009
2596,"Whereas , among spouting fish the tail , though it may be similarly shaped , invariably assumes a horizontal position .",wednesday september 12 1979,elsewhere,30 jun 1980,944,29 sep 1978
2597,"By the above definition of what a whale is , I do by no means exclude from the leviathanic brotherhood any sea creature hitherto identified with the whale by the best informed Nantucketers ; nor , on the other hand , link with it any fish hitherto authoritatively regarded as alien .",wednesday october 3 1984,should,9 09 99,-108,saturday january 15 2005
2598,"* Hence , all the smaller , spouting , and horizontal tailed fish must be included in this ground - plan of Cetology .",saturday may 21 1983,assisted,friday july 8 1988,2694,2/12/75
2599,"Now , then , come the grand divisions of the entire whale host .",04 may 1993,ARE,tuesday june 29 1971,-7505,27 04 06
2600,"* I am aware that down to the present time , the fish styled Lamatins and Dugongs ( Pig - fish and Sow - fish of the Coffins of Nantucket ) are included by many naturalists among the whales .",tuesday may 29 1984,Oxford,4/27/98,8357,october 1 1980
2601,"But as these pig - fish are a noisy , contemptible set , mostly lurking in the mouths of rivers , and feeding on wet hay , and especially as they do not spout , I deny their credentials as whales ; and have presented them with their passports to quit the Kingdom of Cetology .",november 25 2018,solitary,december 28 2007,2091,24 05 79
2602,"First : According to magnitude I divide the whales into three primary BOOKS ( subdivisible into CHAPTERS ), and these shall comprehend them all , both small and large .",16 10 98,fire,3 10 90,-5904,september 18 2012
2603,I .,thursday january 18 2001,bow,monday february 14 2005,-9186,january 18 1984
2604,THE FOLIO WHALE ; II .,tuesday may 10 1977,preparation,sunday april 21 1991,6562,tuesday may 3 2011
2605,the OCTAVO WHALE ; III .,thursday may 23 1974,failed,14 05 15,-3102,wednesday december 1 1982
2606,the DUODECIMO WHALE .,5 sep 1976,confessed,29 07 06,9144,28 may 1974
2607,"As the type of the FOLIO I present the SPERM WHALE ; of the OCTAVO , the GRAMPUS ; of the DUODECIMO , the PORPOISE .",thursday september 24 1998,given,saturday june 24 1995,43,monday april 11 1988
2608,FOLIOS .,november 15 2008,shelter,monday january 30 1984,-2069,01 jul 2015
2609,Among these I here include the following chapters :-- I .,saturday march 12 1994,"?--""",23 july 1986,-3967,12.03.20
2610,The SPERM WHALE ; II .,18 12 89,brush,friday july 20 2018,3234,4 may 1992
2611,the RIGHT WHALE ; III .,28 december 1993,expressive,sep 19 1991,4845,monday june 22 1970
2612,the FIN - BACK WHALE ; IV .,18.10.99,depart,sunday september 12 1993,3089,23.10.78
2613,the HUMP - BACKED WHALE ; V . the RAZOR - BACK WHALE ; VI .,wednesday april 18 1973,Forgive,26 november 1977,-8087,september 24 1984
2614,the SULPHUR - BOTTOM WHALE .,saturday september 14 2013,hitherto,sunday august 5 1990,7329,5 nov 1979
2615,BOOK I .,9 june 2013,deficient,12 november 1991,-216,saturday january 9 1988
2616,"( FOLIO ), CHAPTER I .",monday december 12 1977,hung,friday july 10 1981,-6246,saturday august 27 1977
2617,"( SPERM WHALE ).-- This whale , among the English of old vaguely known as the Trumpa whale , and the Physeter whale , and the Anvil Headed whale , is the present Cachalot of the French , and the Pottsfich of the Germans , and the Macrocephalus of the Long Words .",wednesday may 21 2003,deliberation,wednesday december 21 1988,8908,aug 22 1999
2618,"He is , without doubt , the largest inhabitant of the globe ; the most formidable of all whales to encounter ; the most majestic in aspect ; and lastly , by far the most valuable in commerce ; he being the only creature from which that valuable substance , spermaceti , is obtained .",10 apr 1993,bias,30 01 82,-4443,3 oct 1984
2619,"All his peculiarities will , in many other places , be enlarged upon .",wednesday february 9 2011,September,15 july 2008,7864,7 jul 2009
2620,It is chiefly with his name that I now have to do .,28 february 2014,carpet,thursday april 5 2012,4315,friday november 16 1984
2621,"Philologically considered , it is absurd .",sunday july 2 2006,walks,8 feb 1975,-7098,monday january 7 1974
2622,"Some centuries ago , when the Sperm whale was almost wholly unknown in his own proper individuality , and when his oil was only accidentally obtained from the stranded fish ; in those days spermaceti , it would seem , was popularly supposed to be derived from a creature identical with the one then known in England as the Greenland or Right Whale .",05.06.81,recognised,24 may 1980,2901,friday august 31 2012
2623,"It was the idea also , that this same spermaceti was that quickening humor of the Greenland Whale which the first syllable of the word literally expresses .",july 20 2019,stammered,july 15 1971,4475,14 oct 2008
2624,"In those times , also , spermaceti was exceedingly scarce , not being used for light , but only as an ointment and medicament .",sunday june 22 2008,short,19 april 2003,5021,6 october 1977
2625,It was only to be had from the druggists as you nowadays buy an ounce of rhubarb .,29 mar 1997,forgive,october 1 1984,-940,wednesday january 12 2011
2626,"When , as I opine , in the course of time , the true nature of spermaceti became known , its original name was still retained by the dealers ; no doubt to enhance its value by a notion so strangely significant of its scarcity .",monday december 1 2014,untouched,sunday june 21 1992,7607,16 08 93
2627,And so the appellation must at last have come to be bestowed upon the whale from which this spermaceti was really derived .,sunday april 17 1994,fond,wednesday june 13 2012,6881,tuesday january 17 2006
2628,BOOK I .,13 apr 2011,alluded,thursday january 15 1981,-3496,tuesday april 15 2003
2629,"( FOLIO ), CHAPTER II .",march 23 1978,Sackville,december 24 1998,4470,tuesday june 18 1991
2630,"( RIGHT WHALE ).-- In one respect this is the most venerable of the leviathans , being the one first regularly hunted by man .",sunday july 2 2017,inconsistency,26 jul 2015,5681,7/22/06
2631,"It yields the article commonly known as whalebone or baleen ; and the oil specially known as "" whale oil ,"" an inferior article in commerce .",sunday june 4 2006,represented,sep 16 1999,-200,tuesday january 23 2018
2632,"Among the fishermen , he is indiscriminately designated by all the following titles : The Whale ; the Greenland Whale ; the Black Whale ; the Great Whale ; the True Whale ; the Right Whale .",13 12 76,emigrant,december 28 2014,3934,17 jun 1982
2633,There is a deal of obscurity concerning the identity of the species thus multitudinously baptised .,21 november 2009,waistcoats,saturday october 29 2005,-5106,17 nov 2007
2634,"What then is the whale , which I include in the second species of my Folios ?",sunday december 10 1995,Scott,thursday july 17 2003,848,27 feb 1987
2635,It is the Great Mysticetus of the English naturalists ; the Greenland Whale of the English whalemen ; the Baliene Ordinaire of the French whalemen ; the Growlands Walfish of the Swedes .,tuesday february 6 2001,size,june 30 2008,8765,friday february 16 2018
2636,"It is the whale which for more than two centuries past has been hunted by the Dutch and English in the Arctic seas ; it is the whale which the American fishermen have long pursued in the Indian ocean , on the Brazil Banks , on the Nor ' West Coast , and various other parts of the world , designated by them Right Whale Cruising Grounds .",sunday september 29 1991,acknowledging,sunday july 19 1998,-3868,5/7/75
2637,Some pretend to see a difference between the Greenland whale of the English and the right whale of the Americans .,9 sep 1995,interviews,tuesday september 10 1996,8182,november 6 2006
2638,But they precisely agree in all their grand features ; nor has there yet been presented a single determinate fact upon which to ground a radical distinction .,dec 23 1992,debated,friday january 9 1970,3987,thursday august 25 1994
